County,UOI,Voter_Turnout,fips
REEVES,-0.8904265674587892,44.77,389
REFUGIO,-0.660593624819386,62.37,391
ROBERTS,0.5553900780710757,78.95,393
ROBERTSON,0.012330071096453593,64.68,395
ROCKWALL,1.5379694834911302,71.34,397
RUNNELS,0.17706979028485292,53.44,399
RUSK,-0.14268353448387602,63.31,401
SABINE,0.44231177863907245,65.9,403
SAN AUGUSTINE,-0.13320304915677095,62.16,405
SAN JACINTO,-0.2981139854544733,62.36,407
SAN PATRICIO,-0.22382909195143932,56.54,409
SAN SABA,-0.5368673482002462,71.3,411
SCHLEICHER,-0.35907344770281885,64.26,413
SCURRY,-0.4029193572813734,60.94,415
SHACKELFORD,0.7650720677659772,70.4,417
SHELBY,-0.3549355120042648,60.92,419
SHERMAN,0.36517069618401726,61.81,421
SMITH,0.3193188679318364,64.18,423
SOMERVELL,0.8864119194453403,71.52,425
STARR,-1.1871730000711047,46.65,427
STEPHENS,-0.13520115306742095,63.97,429
STERLING,0.0152848800774531,69.96,431
STONEWALL,0.25781326869402427,75.92,433
SUTTON,0.32052351652977434,59.54,435
SWISHER,-0.45604637241356577,57.95,437
TARRANT,0.40978537939203097,63.1,439
TAYLOR,0.313374000072973,61.38,441
TERRELL,0.3860052475010072,65.97,443
TERRY,-0.8053982273679852,53.45,445
THROCKMORTON,0.11814670613139217,73.79,447
TITUS,-0.05547762431996751,56.63,449
TOM GREEN,0.24860054492897782,62.96,451
TRAVIS,1.0771127538009027,63.27,453
TRINITY,-0.19190322220779704,59.92,455
TYLER,-0.4871415264542828,64.66,457
UPSHUR,0.028086835949736814,65.4,459
UPTON,0.3114940063368496,61.83,461
UVALDE,-0.3999109329884363,54.74,463
VAL VERDE,-0.16967605661578863,48.44,465
VAN ZANDT,0.19418295093948712,66.75,467
VICTORIA,0.009551741580635195,60.76,469
WALKER,-0.38929263245264145,63.9,471
WALLER,-0.0010459692293061235,62.47,473
WARD,0.04261115757047418,53.68,475
WASHINGTON,0.45881050165111925,70.76,477
WEBB,-0.6743583480040753,44.63,479
WHARTON,-0.134360166571937,62.32,481
WHEELER,-0.006771800797082339,66.93,483
WICHITA,0.04156311956681487,55.93,485
WILBARGER,-0.24929667573359832,55.13,487
WILLACY,-1.2859578313193503,47.55,489
WILLIAMSON,1.3346480906078557,69.41,491
WILSON,0.7472723954002797,70.1,493
WINKLER,-0.41576631455913493,46.62,495
WISE,0.1541212563177924,68.35,497
WOOD,0.19862027950521768,68.21,499
YOAKUM,-0.3199834682140493,56.14,501
YOUNG,0.1919265724638775,67.06,503
ZAPATA,-1.1121849087009248,60.55,505
ZAVALA,-0.2252864418622247,44.71,507
