County,Median_Household_Income,Bachelors_Degree_Pct,Unemployment_Rate,No_Health_Insurance_Pct,Median_Gross_Rent,Broadband_Pct,High_School_Grad_Pct,Upward_Mobility,Gini_Index,No_Vehicle_Pct,UOI_ALL,Voter_Turnout,fips
DALLAM,61069,15.7,2.5,29.5,1014,80.1,70.36017435191557,39.11884639041393,0.5141,3.5487959442332064,-0.30531706593105007,50.68,111
DALLAS,65011,33.0,5.2,21.4,1233,86.8,80.72298994787677,26.45348271770633,0.491,6.6433943018607335,0.06427633899121316,58.44,113
DAWSON,42778,13.7,8.2,16.8,756,79.7,70.84563069421276,1.001086083959012,0.4991,8.448030374940673,-0.7896708505248416,51.98,115
DEAF SMITH,49611,11.4,3.6,23.3,758,76.9,74.23716426091723,5.065757428153921,0.4183,3.4135883905013196,-0.3084167761720989,49.25,117
DELTA,58705,22.3,4.2,9.3,763,73.9,87.3492286115007,44.84689975079573,0.4452,3.7919299951385517,0.42504954013495844,64.91,119
DENTON,96265,47.3,4.1,10.9,1352,94.3,93.25977407691876,25.544484728344507,0.4293,2.8480589335100346,1.2547249114833887,68.1,121
DEWITT,57873,12.6,6.3,16.5,841,67.4,83.13365377717196,14.41421849669843,0.4898,6.701966717095311,-0.4538924806695405,68.0,123
DICKENS,42241,20.2,8.9,17.2,614,82.0,83.77455166524338,0.29203665891067954,0.49,7.559055118110236,-0.5158365679172044,69.3,125
DIMMIT,25000,13.0,5.9,14.1,615,65.0,68.5812647218699,-22.36989193888958,0.5118,16.67815299793246,-1.4781950792795873,50.73,127
DONLEY,52888,15.7,0.1,16.3,698,68.8,85.97156398104265,30.39447731755424,0.4188,2.8499580888516345,0.2517354308395944,63.75,129
DUVAL,43836,8.8,10.3,22.0,670,68.6,72.36739164450007,32.37505662086668,0.4418,11.330049261083744,-0.9449963746505935,56.95,131
EASTLAND,43953,21.4,5.5,17.1,654,77.2,85.00701378001486,27.644188883080677,0.5147,6.1669404210840675,-0.2487118657907943,66.55,133
ECTOR,64975,16.3,6.1,21.6,1134,85.1,76.32746126936532,11.382531927659208,0.4446,4.991612870431556,-0.16157226439579628,49.28,135
EDWARDS,40000,21.0,0.0,26.1,623,48.4,78.38427947598254,1.3761816661175457,0.4902,0.0,-0.5397970498543863,66.71,137
ELLIS,85272,26.3,4.0,16.1,1190,90.8,87.42810053564071,32.44695722406884,0.4083,2.7731708872871086,0.7961847796490606,67.97,139
EL PASO,50919,24.7,6.8,21.3,908,84.6,79.75583698095573,21.019607843137255,0.4681,6.6318280554919395,-0.21162060830647747,48.66,141
ERATH,56691,30.9,5.6,14.9,1001,86.9,87.63589681871063,33.41570177915843,0.4794,4.770199651614632,0.3228938323717516,70.92,143
FALLS,35317,12.7,8.1,15.9,566,66.7,79.50020824656393,-8.379381015383817,0.522,11.976379405794427,-1.1378368086486668,59.5,145
FANNIN,59686,18.6,4.8,16.8,878,76.9,85.87867366986087,31.26168327065602,0.4843,4.1299117882919,0.04324181170147672,65.5,147
FAYETTE,66624,23.0,3.5,11.7,812,70.7,88.49093444909344,29.896666016767405,0.4788,4.552752293577981,0.2456564143534969,72.69,149
FISHER,55862,19.6,3.8,12.4,530,75.0,86.39481707317073,34.506753990994675,0.4218,4.6966731898238745,0.2854762141252301,67.99,151
FLOYD,54007,14.9,4.5,23.8,713,76.5,73.66347777152504,25.393545391223586,0.4232,8.39493136219641,-0.3819382497352076,57.21,153
FOARD,37679,17.0,10.1,16.9,533,58.2,75.72815533980582,-21.613131397187317,0.4946,10.615711252653929,-1.2709070728985494,68.11,155
