County,Median_Household_Income,Bachelors_Degree_Pct,No_Vehicle_Pct,No_Health_Insurance_Pct,UOI,Voter_Turnout,fips
JEFF DAVIS,38659,27.2,3.3663366336633667,20.9,-0.11237236295686326,74.46,243
JEFFERSON,53613,19.1,7.31312869942103,21.0,0.027123054314842826,58.42,245
JIM HOGG,37342,13.2,6.957132817990162,23.6,-0.31850720465838483,45.35,247
JIM WELLS,47629,15.6,7.1990650564861705,19.1,0.0061197399042049044,50.58,249
JOHNSON,70767,20.5,2.342608552901584,16.3,-0.18305986931041834,65.23,251
JONES,55575,12.1,3.7465469613259668,16.9,-0.329257272888528,63.58,253
KARNES,49526,15.9,6.747912435116227,15.9,0.13280414745374958,60.05,255
KAUFMAN,75187,22.2,2.777717638398753,13.9,0.033008932797670476,64.39,257
KENDALL,100706,47.5,2.0478445360063957,12.4,0.8031348958061841,75.36,259
KENEDY,42778,3.9,0.0,20.7,-1.1401107502166457,59.63,261
KENT,63994,32.8,3.292181069958848,2.9,0.9620462199396224,71.45,263
KERR,62204,29.1,4.207490156579068,18.2,0.16516175250686232,70.14,265
KIMBLE,55677,28.1,4.173622704507513,17.8,0.1517675510388524,72.81,267
KING,42125,25.3,0.0,15.7,-0.23881548227642874,81.82,269
KINNEY,58925,16.7,5.389797882579403,17.7,-0.06822788587420692,65.89,271
KLEBERG,49986,23.0,5.66658015399256,15.1,0.2815413779645907,53.26,273
KNOX,50163,14.9,2.3181454836131095,19.2,-0.5020956101431944,61.88,275
LAMAR,51561,19.5,6.889111891620672,17.8,0.1594912854729943,64.03,277
LAMB,50041,12.6,5.755864465682016,23.6,-0.455218312966245,52.47,279
LAMPASAS,66506,18.2,4.868819374369323,15.0,0.06259528152110914,66.6,281
LAVACA,57602,17.9,4.25611582626061,11.4,0.17536317933135842,72.9,285
LEE,60750,14.3,4.798308392973325,16.5,-0.1384899379090067,69.17,287
LEON,48676,17.2,3.0964797913950455,18.1,-0.299871988304372,71.47,289
LIBERTY,53871,9.9,4.622941346431667,24.0,-0.6690854767320594,57.32,291
LIMESTONE,49507,15.7,4.3602840413604085,18.7,-0.25089066741438515,62.8,293
LIPSCOMB,66250,25.5,3.6713286713286712,18.7,-0.022093982350221066,69.14,295
LIVE OAK,52870,12.8,4.122374902774177,15.0,-0.17469728197716528,65.11,297
LLANO,62839,30.8,3.1127982646420826,15.9,0.22508020345737592,73.95,299
LOVING,-666666666,0.0,3.0303030303030303,0.0,-3.8865390422599795,75.0,301
LUBBOCK,56529,32.1,5.753807790807387,13.4,0.6518632050077157,61.95,303
LYNN,49747,23.1,4.752851711026616,14.6,0.21967543071454126,58.49,305
MCCULLOCH,46552,14.0,6.21414913957935,19.7,-0.1699891161733183,65.04,307
MCLENNAN,53723,26.3,5.6224387965263185,14.0,0.4328587729511141,61.9,309
MCMULLEN,63056,15.4,4.838709677419355,24.1,-0.48626033426347587,76.09,311
MADISON,59923,11.8,6.649937264742785,15.5,0.019317580126722175,64.61,313
MARION,43153,15.3,6.268582755203171,12.2,0.25474053539799446,60.16,315
MARTIN,69194,21.0,0.0,10.5,-0.10537538535509816,59.14,317
MASON,73186,34.9,3.557046979865772,12.6,0.5603565041249949,77.21,319
MATAGORDA,48566,19.8,6.3568610258658484,18.4,0.0855985283186448,59.35,321
MAVERICK,44502,16.0,6.579988694177502,28.7,-0.5293351510511299,44.98,323
MEDINA,67180,22.6,4.378168804056069,13.9,0.20310985049801733,63.81,325
MENARD,40341,27.2,2.6548672566371683,26.7,-0.4764934117517833,66.69,327
MIDLAND,88210,28.8,4.021667244039933,16.2,0.23922096365934892,59.74,329
MILAM,52810,16.2,4.907597535934292,15.0,0.005786017426744283,64.3,331
MILLS,53483,24.7,1.0029498525073746,16.4,-0.193345873215667,75.43,333
MITCHELL,50144,9.9,2.7900797165633304,17.4,-0.5156831036971993,55.32,335
MONTAGUE,59127,17.5,3.8672622846202938,15.3,-0.07274334731978514,70.71,337
MONTGOMERY,88597,36.4,3.261823000261282,14.7,0.47031031376951404,68.1,339
MOORE,55543,12.9,7.8485419991295515,19.9,-0.05198646837751557,52.97,341
MORRIS,46468,12.9,5.915551839464883,11.5,0.1826998795314309,60.59,343
MOTLEY,59286,21.6,3.056768558951965,19.3,-0.23130724517738555,76.68,345
NACOGDOCHES,47306,24.7,6.22440961164647,16.6,0.3120791746334217,63.2,347
NAVARRO,50466,16.6,5.078968299056926,19.6,-0.19826914325309342,57.74,349
NEWTON,38116,8.3,8.354483925549916,21.6,-0.22754771556382078,61.03,351
NOLAN,44700,16.3,7.894736842105263,17.6,0.17199417169014883,60.3,353
NUECES,59477,21.9,6.835842735569332,18.4,0.19654546812699192,55.5,355
OCHILTREE,57413,18.8,2.940360610263523,21.8,-0.4542636086037176,58.03,357
OLDHAM,68077,23.8,2.9320987654320985,9.8,0.30439678418454186,72.84,359
ORANGE,68756,16.8,5.036558297427863,16.6,-0.04428699293002233,64.64,361
PALO PINTO,59796,17.5,4.921506308388713,18.3,-0.12064270757565793,65.53,363
PANOLA,54853,13.5,4.202296603957977,19.3,-0.36347278671222294,64.42,365
PARKER,88535,28.9,2.509101643215586,13.8,0.21449586678270136,71.15,367
PARMER,62885,18.0,2.5220680958385877,21.2,-0.4893571302067548,55.29,369
PECOS,55652,11.5,9.42942942942943,18.5,0.13266570628961255,50.92,371
POLK,52826,13.1,4.439746300211417,17.7,-0.27107970785965246,54.69,373
POTTER,45096,15.8,8.632809781221724,21.8,0.016931455597526318,53.78,375
PRESIDIO,26395,17.8,9.977220956719817,29.3,-0.1698817688612272,45.25,377
RAINS,55758,18.8,3.707742639040349,17.6,-0.1656907095203755,67.79,379
RANDALL,70544,32.2,2.9423641703377386,9.7,0.5648303344524118,66.82,381
REAGAN,62829,13.7,1.1225444340505144,19.0,-0.6462806395509022,52.75,383
REAL,44083,16.0,5.93505039193729,22.5,-0.2788783432667849,69.05,385
RED RIVER,40674,14.7,3.26726203441516,16.1,-0.25741488112099176,66.13,387
REEVES,53548,9.5,5.9459459459459465,19.7,-0.33268392369446964,44.77,389
REFUGIO,50745,10.4,9.913202375513935,16.5,0.24843741346712148,62.37,391
ROBERTS,62717,25.9,6.774193548387098,16.2,0.4230611758937817,78.95,393
ROBERTSON,55709,17.8,7.908082408874802,13.6,0.4214687874978317,64.68,395
ROCKWALL,111595,43.8,1.4732604623857315,8.8,0.8168385007456427,71.34,397
RUNNELS,52103,17.6,2.349172450613988,13.3,-0.11832512652694874,53.44,399
RUSK,60330,16.0,3.8173991844132305,15.4,-0.12814432757491742,63.31,401
SABINE,41308,18.5,4.841324994208941,13.7,0.13468247495766528,65.9,403
SAN AUGUSTINE,43130,12.1,9.756867698137038,18.9,0.16282373811065848,62.16,405
SAN JACINTO,46678,14.3,2.5076711459104857,19.6,-0.5218359743816826,62.36,407
SAN PATRICIO,59532,16.6,6.266801075268817,16.5,0.07615007572687804,56.54,409
SAN SABA,46927,17.0,3.316326530612245,23.1,-0.5375711986194776,71.3,411
SCHLEICHER,61094,16.8,2.8312570781426953,25.8,-0.7282454630633663,64.26,413
SCURRY,53376,15.8,2.9465930018416207,20.6,-0.483705310749298,60.94,415
SHACKELFORD,54896,32.8,5.279747832939322,11.7,0.7123733190484607,70.4,417
SHELBY,44504,14.2,6.877950101146325,20.6,-0.14399986527015693,60.92,419
SHERMAN,55667,20.2,2.7160493827160495,17.1,-0.19589256212923095,61.81,421
SMITH,62518,28.0,3.875787999066075,17.2,0.1497717202587442,64.18,423
SOMERVELL,89253,28.2,2.6960024790827393,14.3,0.18642670358747448,71.52,425
STARR,33334,12.3,10.731759772030754,33.8,-0.48987191455290313,46.65,427
STEPHENS,46537,18.6,8.094534711964549,19.2,0.1803050909338221,63.97,429
